Bank Name,City,ST,CERT,Acquiring Institution,Closing date,Closing year,Closing month and date,Updated Date,Updated year ,Updated month and date 
Community Bank,Loganville,GA,16490,Bank of Essex,2008/11/21,2008,11/21,2012/9/4,2012,9/4
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,2008/11/7,2008,11/7,2012/8/28,2012,8/28
"Franklin Bank, SSB",Houston,TX,26870,Prosperity Bank,2008/11/7,2008,11/7,2012/8/16,2012,8/16
Freedom Bank,Bradenton,FL,57930,Fifth Third Bank,2008/10/31,2008,10/31,2012/8/16,2012,8/16
Alpha Bank & Trust,Alpharetta,GA,58241,"Stearns Bank, N.A.",2008/10/24,2008,10/24,2012/8/16,2012,8/16
Meridian Bank,Eldred,IL,13789,National Bank,2008/10/10,2008,10/10,2012/5/31,2012,5/31
Main Street Bank,Northville,MI,57654,Monroe Bank & Trust,2008/10/10,2008,10/10,2013/8/1,2013,8/1
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,2008/9/25,2008,9/25,2015/8/4,2015,8/4
Ameribank,Northfork,WV,6782,"The Citizens Savings Bank, Pioneer Community Bank, Inc.",2008/9/19,2008,9/19,2015/9/21,2015,9/21
Silver State Bank,Henderson,NV,34194,Nevada State Bank,2008/9/5,2008,9/5,2013/10/25,2013,10/25
Integrity Bank,Alpharetta,GA,35469,Regions Bank,2008/8/29,2008,8/29,2012/8/16,2012,8/16
Columbian Bank & Trust,Topeka,KS,22728,Citizens Bank & Trust,2008/8/22,2008,8/22,2015/3/26,2015,3/26
First Priority Bank,Bradenton,FL,57523,SunTrust Bank,2008/8/1,2008,8/1,2016/12/12,2016,12/12
"First Heritage Bank, NA",Newport Beach,CA,57961,Mutual of Omaha Bank,2008/7/25,2008,7/25,2016/9/12,2016,9/12
First National Bank of Nevada,Reno,NV,27011,Mutual of Omaha Bank,2008/7/25,2008,7/25,2012/8/28,2012,8/28
IndyMac Bank,Pasadena,CA,29730,"OneWest Bank, FSB",2008/7/11,2008,7/11,2015/4/22,2015,4/22
"First Integrity Bank, NA",Staples,MN,12736,First International Bank and Trust,2008/5/30,2008,5/30,2016/10/20,2016,10/20
"ANB Financial, NA",Bentonville,AR,33901,Pulaski Bank and Trust Company,2008/5/9,2008,5/9,2012/8/28,2012,8/28
Hume Bank,Hume,MO,1971,Security Bank,2008/3/7,2008,3/7,2012/8/28,2012,8/28
Douglass National Bank,Kansas City,MO,24660,Liberty Bank and Trust Company,2008/1/25,2008,1/25,2012/10/26,2012,10/26
Miami Valley Bank,Lakeview,OH,16848,The Citizens Banking Company,2007/10/4,2007,10/4,2016/9/12,2016,9/12
NetBank,Alpharetta,GA,32575,ING DIRECT,2007/9/28,2007,9/28,2012/8/28,2012,8/28
Metropolitan Savings Bank,Pittsburgh,PA,35353,Allegheny Valley Bank of Pittsburgh,2007/2/2,2007,2/2,2010/10/27,2010,10/27
Bank of Ephraim,Ephraim,UT,1249,Far West Bank,2004/6/25,2004,6/25,2008/4/9,2008,4/9
Reliance Bank,White Plains,NY,26778,Union State Bank,2004/3/19,2004,3/19,2008/4/9,2008,4/9
Guaranty National Bank of Tallahassee,Tallahassee,FL,26838,Hancock Bank of Florida,2004/3/12,2004,3/12,2018/4/17,2018,4/17
Dollar Savings Bank,Newark,NJ,31330,No Acquirer,2004/2/14,2004,2/14,2008/4/9,2008,4/9
Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,2003/11/14,2003,11/14,2017/10/6,2017,10/6
First National Bank of Blanchardville,Blanchardville,WI,11639,The Park Bank,2003/5/9,2003,5/9,2012/6/5,2012,6/5
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,2003/2/7,2003,2/7,2008/10/20,2008,10/20
Farmers Bank of Cheneyville,Cheneyville,LA,16445,Sabine State Bank & Trust,2002/12/17,2002,12/17,2004/10/20,2004,10/20
Bank of Alamo,Alamo,TN,9961,No Acquirer,2002/11/8,2002,11/8,2005/3/18,2005,3/18
AmTrade International Bank,Atlanta,GA,33784,No Acquirer,2002/9/30,2002,9/30,2006/9/11,2006,9/11
Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,2002/6/27,2002,6/27,2017/10/6,2017,10/6
Connecticut Bank of Commerce,Stamford,CT,19183,Hudson United Bank,2002/6/26,2002,6/26,2012/2/14,2012,2/14
New Century Bank,Shelby Township,MI,34979,No Acquirer,2002/3/28,2002,3/28,2005/3/18,2005,3/18
Net 1st National Bank,Boca Raton,FL,26652,Bank Leumi USA,2002/3/1,2002,3/1,2008/4/9,2008,4/9
"NextBank, NA",Phoenix,AZ,22314,No Acquirer,2002/2/7,2002,2/7,2015/2/5,2015,2/5
Oakwood Deposit Bank Co.,Oakwood,OH,8966,The State Bank & Trust Company,2002/2/1,2002,2/1,2012/10/25,2012,10/25
Bank of Sierra Blanca,Sierra Blanca,TX,22002,The Security State Bank of Pecos,2002/1/18,2002,1/18,2003/11/6,2003,11/6
"Hamilton Bank, NA",Miami,FL,24382,Israel Discount Bank of New York,2002/1/11,2002,1/11,2015/9/21,2015,9/21
Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,2001/9/7,2001,9/7,2017/10/6,2017,10/6
"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",2001/7/27,2001,7/27,2014/8/19,2014,8/19
Malta National Bank,Malta,OH,6629,North Valley Bank,2001/5/3,2001,5/3,2002/11/18,2002,11/18
First Alliance Bank & Trust Co.,Manchester,NH,34264,Southern New Hampshire Bank & Trust,2001/2/2,2001,2/2,2003/2/18,2003,2/18
National State Bank of Metropolis,Metropolis,IL,3815,Banterra Bank of Marion,2000/12/14,2000,12/14,2005/3/17,2005,3/17
Bank of Honolulu,Honolulu,HI,21029,Bank of the Orient,2000/10/13,2000,10/13,2005/3/17,2005,3/17
